mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad_por,visibility,radiac_solar_watios_m2,energ_solar_MJ_m2,uvindex,clase_hoy,clase_manana
1.086409,26.698989,20.78655,19.639274,80.249159,16.449911,201.187134,87.040723,9.788048,250.219915,21.588034,9,lluvioso,lluvioso
5.165366,26.05151,19.046987,17.979175,80.766829,23.021965,186.440454,57.484464,9.940809,211.470328,19.94461,8,parcialmente_nublado,despejado
8,19,15.8,13.6,82.2,13,203.2,99.5,7.1,282.1,24.5,9,nublado,lluvioso
7,22,18,14.2,71.7,22.3,166.5,77.6,9.9,241.1,21.1,8,parcialmente_nublado,nublado
4,23.2,19,18.7,86.6,22.3,187.7,84.2,8.8,234.2,20.2,8,parcialmente_nublado,parcialmente_nublado
7,19.2,16.7,14.6,80.1,18.4,178.5,97.6,10,195.8,16.8,7,lluvioso,lluvioso
5,19.241452,15.578085,14.594669,82.300008,22.455697,184.271331,48.975939,9.362596,245.236791,21.478488,9,parcialmente_nublado,despejado
2,25.1,18.7,17.3,76.9,24.1,176.6,81,10,268.8,23.1,9,parcialmente_nublado,parcialmente_nublado
3.448576,27.014243,21.505771,20.529469,80.631052,22.3,183.565988,66.909468,10,256.678374,22.138337,9.348448,lluvioso,lluvioso
4.691005,23.425423,19.775495,15.469278,80.172258,24.726263,185.500615,46.45867,9.523848,249.688049,21.510418,9,parcialmente_nublado,despejado
9,17.2,14.9,13.8,88.3,16.6,174.5,100,7.9,273.4,23.6,9,nublado,nublado
5,22,17,15.9,82.6,14.8,214.2,79.5,6.6,269.5,23.3,9,parcialmente_nublado,parcialmente_nublado
6,21.1,17.6,16,84.4,16.3,177.8,97.1,9.1,207.9,17.9,8,nublado,nublado
5.472391,24.218811,18.955859,17.499679,78.70214,26.671788,175.526141,48.902509,9.929544,231.690534,19.699684,8,parcialmente_nublado,despejado
3.447508,25.128942,20.830889,19.989084,81.838015,28.277129,168.319892,51.506188,9.899302,328.434547,28.517656,10,parcialmente_nublado,despejado
4,25.565398,17.971398,18.469561,80.078564,17.50989,193.117143,73.578461,8.52985,293.477404,25.689485,10,parcialmente_nublado,despejado
8,18.943717,15.814234,13.938236,83.887247,15.2777,191.9,99.918182,9.607848,255.564438,22.009603,8.648949,nublado,lluvioso
7,19.1,16.6,13.5,77.7,20.5,184.3,100,8,220.9,19,8,lluvioso,lluvioso
11,22.7,17.9,16.1,79.7,36,167.1,89,10,178.3,15.4,8,parcialmente_nublado,parcialmente_nublado
3,27.1,21.1,19.5,78.2,24.1,172.9,84,10,221,18.9,8,lluvioso,lluvioso
2,28.1,22.1,20.2,73.6,22.3,184.4,80.9,10.6,201.8,17.4,6,lluvioso,lluvioso
9,21.1,16.1,13.7,77.1,25.9,168,82.5,9.8,268.3,23.3,10,parcialmente_nublado,nublado
4,30.1,24.1,21.1,74.4,25.9,173.8,59.1,10,274.1,23.5,10,lluvioso,lluvioso
12,25.719015,18.350575,16.957013,76.655764,24.1,178.341877,54.807152,9.851153,343.326341,29.493657,10,parcialmente_nublado,nublado
2,28.1,23.1,21.9,82.6,25.9,181.2,92.8,10,178.6,15.3,8,lluvioso,lluvioso
4,24.1,20.1,17.5,78.7,23.9,178.8,77.3,10,229.9,19.8,8,lluvioso,lluvioso
1.416487,28.210701,20.474151,20.477207,77.098949,27.7,167.295578,69.412753,10,236.046639,20.483516,9,lluvioso,lluvioso
1,26.685805,21.80307,18.888999,76.002152,20.567481,180.638392,58.290794,9.873755,344.909404,29.662787,10,parcialmente_nublado,despejado
1,24.1,19.7,17.8,79,20.6,180.5,71.5,10,245.1,21.1,9,lluvioso,lluvioso
4.339172,25.098079,18.785237,17.4,80.442232,26.4724,172.082395,35.731277,9.519439,234.318712,20.778752,8.024931,parcialmente_nublado,despejado
1,25.1,21.9,18.8,76.1,16.6,169.1,97.3,10.4,329.6,28.4,10,nublado,nublado
