mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad_por,visibility,radiac_solar_watios_m2,energ_solar_MJ_m2,uvindex,clase_hoy,clase_manana
4.535374,23.495665,18.076409,17.271266,76.573119,26.548448,176.707338,20.620513,9.936465,219.928329,21.162518,8.399335,parcialmente_nublado,despejado
3,24.1,18.9,16.6,76.3,25.4,172.1,62.6,10,299.4,25.9,10,lluvioso,lluvioso
4.899101,24,19.652255,17.383244,80.841906,27.794429,166.546489,58.9,9.928106,240.204628,21.99224,8.305375,parcialmente_nublado,despejado
9,18.1,15.1,14.2,86.6,25.9,168.4,100,9,249.6,21.7,9,lluvioso,lluvioso
4.432454,24.850491,17.914609,17.4,79.022271,24.484746,175.269237,29.754025,9.770394,223.080495,18.942248,8,parcialmente_nublado,despejado
11,22.1,17.1,15.5,80,18.4,177,79.4,10,301.5,25.9,10,lluvioso,parcialmente_nublado
4,24.028999,20,19.082331,85.591012,30.201181,159.39051,58.573504,9.011851,262.812434,23.404729,9.319123,parcialmente_nublado,despejado
7,18.1,15.1,14.9,91.5,18,180.2,100,8.2,200.5,17.3,7,nublado,nublado
4.280619,24,19.149705,17.989081,77.166919,29.386187,160.423137,58.9,9.968473,243.047402,20.987825,8.906849,parcialmente_nublado,despejado
12,25.1,20.7,19,80.5,24.1,167.7,88.6,9.9,311.2,26.9,10,parcialmente_nublado,nublado
4,25.6328,19.707586,18.553294,84.035856,25.137314,170.33012,13.561338,8.239274,282.249753,25.47168,10,parcialmente_nublado,despejado
12,25,19,17.6,78.3,27.7,170.6,50.4,9.8,306.3,26.5,10,parcialmente_nublado,parcialmente_nublado
3,27,21,19.1,79.2,14.8,181.3,91.1,10,190,16.5,8,nublado,parcialmente_nublado
6,24.2,21.7,16.8,69.4,25.9,163.6,87.5,10,218.4,18.7,8,lluvioso,lluvioso
1,24.1,18.1,16.7,76.5,29.5,175.8,72.9,9,318.5,27.5,10,parcialmente_nublado,lluvioso
5.203417,18.533242,15.669908,15.093583,81.853891,27.348883,168.02445,28.113832,9.402988,228.599517,20.408241,8,parcialmente_nublado,despejado
4,25.1,18.903501,17.4,76.669905,24.844089,175.499141,46.099343,9.787733,242.208346,19.995311,8.849767,parcialmente_nublado,despejado
4,25.1,19.734338,17.4,76.726915,24.278421,174.557404,46.406321,9.912126,233.40142,19.712143,8.31972,parcialmente_nublado,despejado
3,27.745658,22.71372,20.412266,77.948377,23.150654,169.061847,67.177296,10,252.733446,21.8,9,lluvioso,lluvioso
6,22,17.9,15,76.2,13,178.6,70.7,8.7,235.7,20.3,8,parcialmente_nublado,nublado
2.267886,27.884343,21.29598,19.771127,74.956235,24.1,172.889441,82.010259,10,221.104554,18.992563,8,lluvioso,lluvioso
1.345104,24.417468,19.478481,18.475488,75.54705,19.881271,184.115126,48.400558,9.617898,308.632236,27.489508,10,parcialmente_nublado,despejado
4,26.4,20.1,16.4,71.6,23.9,166.3,34.6,10,259.3,22.4,9,parcialmente_nublado,parcialmente_nublado
4,22,18,16.8,82,16.6,190.5,89.9,10,245.6,21.4,9,parcialmente_nublado,nublado
8,17.1,14.8,13.6,87.1,20.5,173.5,100,8.9,283.9,24.5,10,nublado,nublado
9,21.1,16.9,15,81.3,24.1,168.4,95.8,9.1,268.8,23.3,9,lluvioso,lluvioso
5,19.9,15.1,12.8,79.6,25.9,174.6,75.7,7.4,248.7,21.7,9,parcialmente_nublado,parcialmente_nublado
4,24.586408,18.960402,18.078917,76.843908,18.156781,201.431021,48.240447,9.302194,242.854387,20.988541,8.363564,parcialmente_nublado,despejado
4.675176,24.737419,19.008848,17.316457,81.826984,19.211523,170.635424,50.213387,9.444116,244.736916,21.034752,9,parcialmente_nublado,despejado
7,19,16,15.1,88.6,14.8,196.3,97,8.7,227.2,19.7,8,nublado,nublado
4,24.373178,18.016534,16.441667,80.319261,17.693053,195.057864,54.125688,8.286942,290.571912,25.566586,10,parcialmente_nublado,despejado
3,28,21,19.9,77.3,14.8,179.2,73.3,10,219.3,18.9,8,parcialmente_nublado,parcialmente_nublado
8.958475,19.696623,15.736852,13.728376,79.619911,17.099926,202.623603,97.017397,9.370653,116.688047,9.505143,5.567656,nublado,nublado
6.119497,17.2,15.1,13.678839,85.369772,22.895347,197.03149,86.3918,7.014562,236.203808,20.4,8,parcialmente_nublado,despejado
10,20.2,15,13.9,80.8,20.5,179.2,69.5,10.2,325.7,28.3,10,parcialmente_nublado,parcialmente_nublado
2.147197,28.594374,23.1,20.208548,71.990125,23.960178,173.074431,67.631716,10,320.093804,27.416374,10,parcialmente_nublado,lluvioso
10,21,18,16.5,84.1,20.5,168.5,100,9.9,309.2,26.8,10,nublado,nublado
4.493788,24.036372,18.644288,17.453201,81.107767,26.261162,174.866551,51.630006,9.54198,216.239827,17.892468,8,parcialmente_nublado,despejado
8.357709,19.1,15.74994,14,81.584565,17.757832,180.816526,100,9.904645,92.091751,8.131457,4.06325,nublado,lluvioso
5.500532,21.581329,18.576043,14.909115,83.252514,25.328828,168.638373,80.518141,8.161845,243.3733,20.854854,8.172168,parcialmente_nublado,despejado
2,27.4,22.1,19.8,76.8,18.4,178.5,68.3,10,243.2,21,9,lluvioso,lluvioso
1,27.1,22.1,18.7,71.5,31.7,159.4,73.3,9.9,327.4,28.2,10,lluvioso,parcialmente_nublado
6,19.4,15,13.9,88.1,18.7,198.3,92.3,6.2,236.5,20.5,8,nublado,nublado
9,21,16,14,78.2,35.3,161,31.3,10,302.4,26.3,10,parcialmente_nublado,parcialmente_nublado
6,20.1,17.1,14.6,80.4,22,165.8,91.7,10,208.2,18.1,7,nublado,lluvioso
3.898315,27.633678,20.030623,19.050567,81.122599,22.533624,180.634346,10.001076,9.206254,307.050615,26.237018,10,parcialmente_nublado,despejado
9,22.1,18.1,16,78.7,25.9,166.9,100,9.5,218.6,19,9,nublado,nublado
9,18,15,13.8,84.8,22.3,172.5,100,9.1,313.7,27.1,10,nublado,nublado
5,24.1,18.1,17.2,79.4,20.1,190.9,47.3,10,246.5,21.3,9,lluvioso,parcialmente_nublado
9.427653,22.507841,18,15.345305,79.981556,19.085413,180.693589,70.216839,9.310754,260.190343,22.589234,9,parcialmente_nublado,nublado
3.727211,24.277197,18.969427,17.351508,79.393025,19.073137,182.588135,24.507174,9.085701,288.603393,28.864795,10,parcialmente_nublado,despejado
3,26.1,21.1,18.9,75.8,20.5,183.2,66.5,11.8,293.5,25.3,10,parcialmente_nublado,lluvioso
2,26.1,21.1,18.8,77.9,23.7,172.7,85.5,10,247.6,21.4,9,lluvioso,lluvioso
9,19,15,14,86.1,20.5,188.9,99,9.2,301.9,26.2,10,nublado,nublado
1.51809,26.346333,21.994933,18.441752,69.615376,24.464158,163.569194,34.416888,9.875496,273.793696,23.698639,8.879046,parcialmente_nublado,lluvioso
4,24.018672,19.209826,17.435751,84.112277,21.969066,167.425695,46.765362,8.237134,286.307285,24.114323,10,parcialmente_nublado,despejado
10,22.2,17.1,14.4,73.5,25.9,166.8,71.5,10,326.7,28.3,10,lluvioso,parcialmente_nublado
8,18.2,16.1,14.2,82.4,18.4,174.9,100,9.8,236.2,20.3,8,lluvioso,lluvioso
4.480377,24.60757,19.042704,17.909079,80.451561,23.53139,172.071409,56.771614,9.958524,230.058919,19.565203,8,parcialmente_nublado,despejado
9.649498,18.835621,15.1,13.526082,83.892175,25.009347,172.472751,99.575061,9.251308,79.382204,6.850708,4,lluvioso,lluvioso
7,18,16,14.5,85.4,18.4,170.3,97.8,9.3,218.2,18.8,8,nublado,nublado
5,22.1,15.9,15.8,87.4,18.4,187.4,46.6,7,171.8,15,6,parcialmente_nublado,parcialmente_nublado
2,29,22.2,20,72.4,22.3,169,56.6,10.1,333.1,28.8,10,parcialmente_nublado,parcialmente_nublado
5,23,16,15.6,80.1,24.1,176.7,43.2,8.7,232.3,20.1,8,parcialmente_nublado,nublado
4.116276,19.424385,17.703451,14.625175,83.530187,17.288955,220.36761,56.031581,9.190529,249.916772,21.0245,9,parcialmente_nublado,despejado
9,17.1,14.1,12.3,82.1,16.6,207.3,100,8.1,67.7,5.9,3,nublado,nublado
1.411996,28.310664,21.858522,21.278048,80.437784,23.431557,171.756555,71.222501,10,239.819299,20.660413,8,lluvioso,lluvioso
5,22.1,17.7,16.5,81.9,22.3,170.9,64.9,8.8,244.4,21.2,9,lluvioso,parcialmente_nublado
4.474033,25.230204,17.051383,16.67661,77.212836,23.526064,183.325177,25.292659,9.981278,253.34843,21.750174,9,parcialmente_nublado,despejado
12,24.1,19.1,17.3,82,20.5,173.7,93.8,10,271.5,23.6,10,lluvioso,lluvioso
5,25,20.7,19.4,82.7,18.4,178.1,57.6,9.5,266,22.9,9,parcialmente_nublado,parcialmente_nublado
7.672788,27.068265,20.744778,18.724715,77.617281,25.186485,174.709151,50.505072,9.907407,350.066492,30.4,10,parcialmente_nublado,despejado
2.546528,27.02639,20.22976,19.277207,83.413177,26.954981,170.441133,30.032348,9.524428,347.437918,29.489978,10,parcialmente_nublado,despejado
11,24.1,19.1,16.6,78.4,24.1,169,65.3,10,342.3,29.4,10,parcialmente_nublado,parcialmente_nublado
8,18,15,12.4,81.2,16.6,180,92.9,7.3,272.2,23.4,9,nublado,nublado
4,26.1,20.9,18.8,77.1,22.3,182.1,60.6,9.9,207.3,17.8,7,parcialmente_nublado,parcialmente_nublado
1.063848,25.862359,20.162397,19.835603,86.802908,25.9,169.460542,84.940786,9.589994,220.482595,19,8,lluvioso,lluvioso
5,26.1,17.9,17.5,81,18,202.8,59.4,9,260.3,22.5,9,parcialmente_nublado,parcialmente_nublado
4,20.4,15.1,15,85.1,25.9,200.4,61.4,6.7,281.5,24.4,10,parcialmente_nublado,parcialmente_nublado
4,29.1,23.7,20.1,70.3,24.1,171.4,63.5,10,281.3,24.3,9,parcialmente_nublado,parcialmente_nublado
4.983474,24.47382,18.93325,17.861301,79.688055,24.584107,169.628691,48.273176,9.956681,233.24843,19.967189,8,parcialmente_nublado,despejado
1,26.2,22.1,20,80.7,22.3,160,99.2,10,338.9,29.6,10,nublado,parcialmente_nublado
10,21,15.995614,14.221408,81.480358,15.018241,186.861707,90.691953,10.101208,312.791818,27.062227,10,nublado,nublado
3.989256,25.821009,20.305701,19.869352,84.129107,31.624815,164.192086,44.990044,8.185745,295.940807,24.229621,10,parcialmente_nublado,despejado
11,20,15,14.1,82.4,16.6,213.4,90.8,9.3,348.3,30,10,nublado,parcialmente_nublado
4,27.847902,17.103268,17.853774,79.656894,17.771617,182.4007,23.551628,8.428012,292.364144,25.57247,10,parcialmente_nublado,despejado
4.44471,22.231814,15.301021,14.999626,79.244743,19.484737,189.106848,55.140421,9.998205,230.945435,17.866752,8.557297,parcialmente_nublado,despejado
4,26.1,21.1,18.9,80.1,18.4,198.3,61.6,9.7,240.6,20.8,9,lluvioso,parcialmente_nublado
9,19,15,13.4,82.7,20.5,174.5,95.4,7.9,311.5,26.8,10,nublado,nublado
5.564691,20.58755,16.914563,15.045841,82.513656,17.988663,171.276939,67.317797,8.513888,235.445605,20.270265,8,parcialmente_nublado,nublado
11,21,17.7,15.8,82.2,25.9,168.7,95.9,10.4,338.6,29.3,10,nublado,parcialmente_nublado
7,16.2,14,13,87,22.3,175.2,98.6,7.4,250.9,21.7,9,nublado,nublado
4,27.892116,19.611949,18.603054,79.822418,27.529233,175.255309,33.651886,8.289866,284.542764,24.096409,10,parcialmente_nublado,despejado
11,21.1,16.1,14.3,80.3,14.8,216.5,85.4,9.5,262,22.5,9,lluvioso,parcialmente_nublado
9,20.2,15,13.6,80.2,20.5,167.2,76,10.4,307.1,26.6,10,parcialmente_nublado,nublado
11,21,18,15.7,82.9,20.5,166.3,100,10,206.8,17.8,7,nublado,nublado
3.936494,24.462526,20.464263,16.850181,83.099056,28.690215,176.411769,33.88177,9.069435,293.607195,26.479122,10,parcialmente_nublado,despejado
4.141108,18.924459,14.887498,14.24603,77.921633,23.732638,167.474883,23.439208,9.960872,247.583744,21.491203,8.369803,parcialmente_nublado,despejado
4,25.2,19.1,17.9,80.8,16.6,196.2,57.6,9.5,190.3,16.4,7,lluvioso,lluvioso
11,21.1,18.1,16.2,81.8,22.1,170.5,100,9.7,297.4,25.7,10,nublado,nublado
5,24.1,18.9,17.2,80.9,24.1,178,50.3,10,197.6,17.2,8,parcialmente_nublado,lluvioso
4.437488,19.75002,17.225624,16.030572,82.804922,14.906621,208.245365,50.871388,9.091448,245.194857,21.593216,9,parcialmente_nublado,despejado
10,20.3,16.1,14,80.9,23.7,179.2,89.8,9.9,314.5,27.2,10,parcialmente_nublado,parcialmente_nublado
8,16.956643,14.492751,12.767477,79.760448,20.21531,197.762691,98.395405,9.899384,219.344001,18.544497,7.856756,lluvioso,lluvioso
9,16.1,14.6,12.1,80.6,20.5,170.6,97.9,9.4,295.9,25.4,10,nublado,nublado
4,24.023907,20,18.147617,77.34015,30.436458,159.339644,54.356219,9.363589,268.541337,23.549239,9.384563,parcialmente_nublado,despejado
5,23.1,17.1,16.8,83.8,25.9,168.1,70.3,10,172.2,14.9,7,lluvioso,parcialmente_nublado
3.364807,24.163104,17.293562,18.824191,82.451685,28.574559,180.321787,33.406646,9.247572,295.331801,26.723078,10,parcialmente_nublado,despejado
12,24.939343,19.034475,17.737211,82.483179,28.737635,163.322764,89.92167,9.606432,311.009473,26.708598,10,nublado,nublado
2,27.636378,22.883705,21.358117,81.785366,24.751241,174.630506,82.799165,9.775866,261.924771,22.453927,9,lluvioso,lluvioso
8,19,16.9,14.5,81.7,16.6,177.7,100,8.8,266.1,23,9,nublado,nublado
9,20.7,17.5,15.3,78.5,22.3,170,98.1,10.1,237.7,20.6,9,lluvioso,nublado
1,26,21,19.3,79,24.1,171.2,85.6,10,249.7,21.3,9,parcialmente_nublado,parcialmente_nublado
4.7185,18.88716,16.637083,16.278552,77.597014,23.884903,177.293007,57.418423,9.773872,246.603855,22.265899,9,parcialmente_nublado,despejado
2,29.1,23.9,21.4,75.4,33.5,163.9,59,10,319.5,27.6,10,parcialmente_nublado,parcialmente_nublado
2.969347,25.1,20.13153,17.811943,74.747222,25.109698,171.757708,77.252556,10,238.277197,20.427603,8,lluvioso,lluvioso
10,21,18,15.9,81.7,20.5,175.8,97.7,9.9,302.6,26.1,10,nublado,parcialmente_nublado
