name,mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad%,radiac_solar_watios_m2,energ_solar_MJ_m2,clase hoy,clase manana
Lima,9,17.7,13.9,12.5,84.1,22.3,173.7,97,299.2,25.8,nublado,nublado
Lima,9,17,13.9,12.3,83.3,18.4,173.1,97,281.9,24.5,nublado,nublado
Lima,9,19,14.7,12.1,77.1,20.5,173.3,57.7,296.1,25.6,parcialmente nublado,nublado
Lima,9,18.1,14,12.5,80.3,25.9,167.9,72.6,299.3,25.8,parcialmente nublado,parcialmente nublado
Lima,9,17.1,14,12.2,81.2,14.8,200.2,86.2,296.5,25.5,parcialmente nublado,parcialmente nublado
Lima,9,18,14.7,12.5,80.7,18.4,182.4,97.1,297.7,25.7,nublado,parcialmente nublado
Lima,9,17,14.6,12.3,81.7,20.5,203.5,99.1,297.5,25.8,nublado,nublado
Lima,9,17,14,12.3,80.9,14.8,282,91.7,280.2,24.4,nublado,nublado
Lima,9,18.1,14.7,12.8,82.2,13,198.4,87.7,224.9,19.3,parcialmente nublado,nublado
Lima,9,18.1,14.8,13.3,84.7,13,219.6,61.2,301,26,parcialmente nublado,parcialmente nublado
Lima,9,19,14,13.8,86.4,18.4,201.2,65.8,304.2,26.2,parcialmente nublado,parcialmente nublado
Lima,9,20,14.7,14.2,86.1,22.3,176.1,56.4,304.9,26.4,parcialmente nublado,parcialmente nublado
Lima,9,19.1,14.8,14,88.2,22.3,177.5,86.4,291.2,25.1,parcialmente nublado,parcialmente nublado
Lima,9,19,14.7,14.1,86.6,22.3,177.4,98.4,286.7,24.9,nublado,parcialmente nublado
Lima,9,19,15,14.1,86.9,20.5,185.5,91.5,287.6,24.8,nublado,nublado
Lima,9,20,15.8,14.3,83.8,24.1,170.9,78.1,293.6,25.3,parcialmente nublado,nublado
Lima,9,19,15,14.2,86.9,22.3,174.4,95.4,290,25,nublado,parcialmente nublado
Lima,9,19,15,14.1,86.1,29.5,193.5,98.6,291.9,25.4,nublado,nublado
Lima,9,18,15,13.8,85.4,24.1,178.4,85.4,218.7,18.8,parcialmente nublado,nublado
Lima,9,19,14.9,14,85.7,22.3,168.8,84.1,305.1,26.3,parcialmente nublado,parcialmente nublado
Lima,9,17.1,15,13.4,84.1,18.4,197.3,97.8,313,27,nublado,parcialmente nublado
Lima,9,19,15,13.3,81.6,18.4,185.5,81.1,314.9,27.3,parcialmente nublado,nublado
Lima,9,19,14,13.2,83.8,14.8,194.5,69.6,241.6,20.9,parcialmente nublado,parcialmente nublado
Lima,9,18.2,14.9,13.6,84.2,14.8,225.6,93.3,292.7,25.4,nublado,parcialmente nublado
Lima,10,19.2,15.2,13.6,81,22.3,181.3,89,310.2,26.5,parcialmente nublado,nublado
Lima,10,18,14,13.8,87,20.5,175.4,85.5,318.7,27.7,parcialmente nublado,parcialmente nublado
Lima,10,17.2,15,13.8,88,14.8,187.4,93.6,324,28,nublado,parcialmente nublado
Lima,10,19,15,14,86.3,14.8,212.2,90.8,328,28.4,nublado,nublado
Lima,10,17,14,13.5,86.4,13,198.5,100,324.7,28.1,nublado,nublado
Lima,10,18,15,13.5,84,22.3,180.2,97.9,326.7,28.3,nublado,nublado
Lima,10,19,14.9,12.9,80.5,20.5,204.1,73.7,332,28.7,parcialmente nublado,nublado
Lima,10,19,15,13.1,81.8,13,210.8,100,321,27.7,nublado,parcialmente nublado
Lima,10,20,15,13.1,79.7,27.7,175.6,78.2,327.8,28.3,parcialmente nublado,nublado
Lima,10,18,15,13,82.2,14.8,215.1,100,291.3,25.1,nublado,parcialmente nublado
Lima,10,19.2,15,13.2,80.4,16.6,190.9,64,323.3,27.9,parcialmente nublado,nublado
Lima,10,20,14.8,13.6,82.7,24.1,176.6,57.2,330.3,28.5,parcialmente nublado,parcialmente nublado
Lima,10,19,14.9,14,86.6,22.3,182.7,89.9,331.1,28.5,parcialmente nublado,parcialmente nublado
Lima,10,19,15,13.7,84.7,16.6,235.4,97.5,332.4,28.6,nublado,parcialmente nublado
Lima,10,20,15,13.4,81,14.8,219.1,70.2,311.6,26.8,parcialmente nublado,nublado
Lima,10,19,15,13.8,83.7,18.4,196.4,82.1,317,27.3,parcialmente nublado,parcialmente nublado
Lima,10,18.2,14.2,13.4,84,20.5,208.4,75.5,304.2,26.3,parcialmente nublado,parcialmente nublado
Lima,10,20,14,13.7,85.2,14.8,202.2,79.8,324.9,27.9,parcialmente nublado,parcialmente nublado
Lima,10,19,15.8,13.9,82.9,14.8,204.4,90.3,243.4,20.9,nublado,parcialmente nublado
Lima,10,19,16,14.1,83,22.3,166.8,88.7,174.4,15,parcialmente nublado,nublado
Lima,10,20,15.9,14.5,83.8,18.4,171.2,97.3,302.9,26.2,nublado,parcialmente nublado
Lima,10,20,16,14.6,83.4,16.6,190.7,98.6,311.2,26.8,nublado,nublado
Lima,10,19,15.7,14.5,85.3,14.8,216,99.5,304.6,26.3,nublado,nublado
Lima,10,20,16,14.1,80.5,13,211,94.5,304.5,26.3,nublado,nublado
Lima,10,20,16,14.2,80.1,13,201,98.6,334.2,28.7,nublado,nublado
Lima,10,20,16,14.3,81.8,20.5,182.1,98.9,337.7,29.3,nublado,nublado
Lima,10,20,16,14.6,83.6,16.6,196.2,100,336.3,28.8,nublado,nublado
Lima,10,19,15.8,14.3,83.8,13,183.5,100,339.7,29.4,nublado,nublado
Lima,10,20,16,14.1,80.5,14.8,181.2,89.9,345.7,29.7,parcialmente nublado,nublado
Lima,10,20,16,14.4,80.8,14.8,184.8,77.9,344.4,29.7,parcialmente nublado,parcialmente nublado
Lima,10,18,15,14,84.9,9.4,225.3,86.6,332.9,28.8,parcialmente nublado,parcialmente nublado
Lima,11,18.2,15,13.9,84.1,22.3,186.4,100,330,28.5,nublado,parcialmente nublado
Lima,11,20.1,16,13.6,77.1,16.6,196.1,91.1,282.4,24.5,nublado,nublado
Lima,11,20.8,16,13.7,77.7,20.5,179.5,83.4,347.7,30,parcialmente nublado,nublado
Lima,11,21,16,13.4,76.4,22.3,179.3,72.9,352.7,30.5,parcialmente nublado,parcialmente nublado
Lima,11,19,15.8,13.5,79.4,16.6,198.9,72.8,337.1,29,parcialmente nublado,parcialmente nublado
Lima,11,19,15,13.8,84,14.8,233.7,87.6,320.8,27.6,parcialmente nublado,parcialmente nublado
Lima,11,19,15.7,13.9,82.7,24.1,188.3,89.2,303.6,26.2,parcialmente nublado,parcialmente nublado
Lima,11,19.1,15.9,14,82.1,22.3,171.2,80.4,342.5,29.7,parcialmente nublado,parcialmente nublado
Lima,11,20,14.9,13.8,80.4,18.4,197.1,67.3,310.6,26.6,parcialmente nublado,parcialmente nublado
Lima,11,20,16,14.5,84.4,14.8,197.2,91.5,310.1,26.7,nublado,parcialmente nublado
Lima,11,20,16,14.6,81.8,13,193.6,86.2,298,25.9,parcialmente nublado,nublado
Lima,11,20.1,16,15.1,85,18.4,190.9,82.7,229.7,19.9,parcialmente nublado,parcialmente nublado
Lima,11,21,16,14.8,84,14.8,201,84.6,333.9,28.9,parcialmente nublado,parcialmente nublado
Lima,11,21,16,14.7,83.2,18.4,181.8,81.9,286.9,24.7,parcialmente nublado,parcialmente nublado
Lima,11,20,16,14.8,84.4,20.5,188.5,89.5,321.3,27.8,parcialmente nublado,parcialmente nublado
Lima,11,21,16,14.9,84.1,18.4,175,75,333.3,28.7,parcialmente nublado,parcialmente nublado
Lima,11,22,16.8,15.2,80.7,25.9,170.5,74.6,329.9,28.3,parcialmente nublado,parcialmente nublado
Lima,11,21.2,15.7,15.1,82.4,31.3,169.9,64.5,239.6,20.6,parcialmente nublado,parcialmente nublado
Lima,11,22,16,15.5,84.3,20.5,173,86.4,341.1,29.5,parcialmente nublado,parcialmente nublado
Lima,11,23,18,15.5,77.6,22.3,170,82.7,341.6,29.4,parcialmente nublado,parcialmente nublado
Lima,11,22,17,16,82,16.6,188.4,90.7,327,28.3,nublado,parcialmente nublado
Lima,11,22,17,15.5,79.9,16.6,221,76.9,317.9,27.4,parcialmente nublado,nublado
Lima,11,22,16,15.2,81.7,16.6,201.8,74.9,244.4,21,parcialmente nublado,parcialmente nublado
Lima,11,19.6,15.9,15.2,84.8,16.6,192.6,66.2,311.4,27.1,parcialmente nublado,parcialmente nublado
Lima,11,22,16.2,15,78.3,24.1,172.3,77,340.1,29.3,parcialmente nublado,parcialmente nublado
Lima,11,21,17,15.6,81.7,18.4,172.7,75.6,196.5,16.9,parcialmente nublado,parcialmente nublado
Lima,11,22,17.8,15.5,79.5,18.4,181.9,89.7,322.7,27.8,parcialmente nublado,parcialmente nublado
Lima,11,23,17.8,15.6,77.8,20.5,178,76.9,239.6,20.7,parcialmente nublado,parcialmente nublado
Lima,11,22.1,17.9,15.9,81.4,16.6,183.5,84.2,229.9,19.8,parcialmente nublado,parcialmente nublado
Lima,11,21.1,17,16,84.9,11.2,202.6,87.5,175.9,15.1,parcialmente nublado,parcialmente nublado
Lima,12,21,17,15.2,80,14.8,227,82.6,298.3,25.7,parcialmente nublado,parcialmente nublado
Lima,12,21.7,16.9,15.8,82.7,18.4,186,74.9,283.5,24.3,parcialmente nublado,parcialmente nublado
Lima,12,21,16.5,15.8,82.9,16.6,183.6,84.7,314,27.2,parcialmente nublado,parcialmente nublado
Lima,12,22,17,16.2,83.4,14.8,183.8,88,299.4,25.8,parcialmente nublado,parcialmente nublado
Lima,12,20.1,17.9,16.3,86,25.9,171.8,84.5,209.1,18.2,parcialmente nublado,parcialmente nublado
Lima,12,21.9,17.9,16.3,83.3,22.3,179.5,74.6,280.6,24.1,parcialmente nublado,parcialmente nublado
Lima,12,22,17,16.3,81.6,22.3,174.3,86.3,296,25.7,parcialmente nublado,parcialmente nublado
Lima,12,23,18,16.4,81.4,22.3,174.8,79.8,216.9,18.7,parcialmente nublado,parcialmente nublado
Lima,12,21.2,17,16.4,86,22.3,175,82.6,292.8,25.2,parcialmente nublado,parcialmente nublado
Lima,12,21,17,16.6,86.7,18.4,182.7,85.7,270.5,23.2,parcialmente nublado,parcialmente nublado
Lima,12,23,17.8,16.7,83.8,18.4,180.5,74.7,277.4,24,parcialmente nublado,parcialmente nublado
Lima,12,23,17.9,17,84.8,22.3,179.1,76.7,305.9,26.4,parcialmente nublado,parcialmente nublado
Lima,12,22.1,17,16.2,84.2,16.6,224.6,81.8,180.6,15.5,parcialmente nublado,parcialmente nublado
Lima,12,20,16.9,15.7,85.8,14.8,196.1,93.8,284.8,24.4,nublado,parcialmente nublado
Lima,12,21.2,16,15.8,85.2,17.6,184.3,75.3,311.1,26.8,parcialmente nublado,nublado
Lima,12,23,17.9,16.2,80.7,27.7,173.4,59,171.5,14.7,parcialmente nublado,parcialmente nublado
Lima,12,23,17.9,16.4,82.1,18.4,176.5,67.9,289.7,24.9,parcialmente nublado,parcialmente nublado
Lima,12,23.1,17.8,16.6,83,16.6,194.3,83.7,285.3,24.5,parcialmente nublado,parcialmente nublado
Lima,12,24,18,16.4,80.7,14.8,184.5,75.8,285.4,24.6,parcialmente nublado,parcialmente nublado
Lima,12,22,17.8,16.3,83.8,13,258.2,74.9,231.9,20.1,parcialmente nublado,parcialmente nublado
Lima,12,22.7,17.9,16.9,84,14.8,249.4,78.7,170.6,14.8,parcialmente nublado,parcialmente nublado
Lima,12,23.8,18.9,17.3,83.7,16.6,183.4,76.3,312,26.8,parcialmente nublado,parcialmente nublado
Lima,12,23,18,17.2,84.6,14.8,195,84.5,214.1,18.6,lluvioso,parcialmente nublado
Lima,12,24.2,18,17.4,81.7,13,186.7,83.7,215.6,18.6,lluvioso,lluvioso
Lima,12,24,18,17,81,18.4,189.2,70.2,211.2,18.2,parcialmente nublado,lluvioso
Lima,12,23,18,16.9,79.8,25.9,175.1,71.4,284.1,24.5,parcialmente nublado,parcialmente nublado
Lima,12,24,19,17.2,77.7,18.4,176,64,271.2,23.4,parcialmente nublado,parcialmente nublado
Lima,12,23,18,17.3,81.8,22.3,175.5,53,284.9,24.5,parcialmente nublado,parcialmente nublado
Lima,12,24.2,18.8,17.3,80.5,18.4,177.9,68.5,218.6,18.8,parcialmente nublado,parcialmente nublado
Lima,12,23,18.9,17.3,83.7,18.4,173.4,76.5,257.8,22.3,parcialmente nublado,parcialmente nublado
Lima,12,24,18,17.7,84.2,18.4,169.9,82.1,331.1,28.4,parcialmente nublado,parcialmente nublado
Lima,1,23.9,18,17.7,82.5,16.6,177,62.9,304,26.3,parcialmente nublado,parcialmente nublado
Lima,1,25,18.8,17.6,79.2,20.5,175.9,70,239.3,20.6,parcialmente nublado,parcialmente nublado
Lima,1,25,19.7,17.9,79.7,20.5,171.3,78.2,237.2,20.5,parcialmente nublado,parcialmente nublado
Lima,1,23.7,17.8,17.2,83.8,13,225.4,65,247.6,21.3,parcialmente nublado,parcialmente nublado
Lima,1,23,17.9,17.1,83.7,16.6,185.2,87.2,149,12.9,parcialmente nublado,parcialmente nublado
Lima,1,25,18,16.8,78.1,20.5,183.8,78.3,212.6,18.3,parcialmente nublado,parcialmente nublado
Lima,1,23.1,18.8,16.9,78.2,24.1,172.3,71.8,234,20.2,parcialmente nublado,parcialmente nublado
Lima,1,24,19,17.3,80.9,20.5,172.7,72.3,280.1,24.2,parcialmente nublado,parcialmente nublado
Lima,1,25,19,17.1,78.5,16.6,179.7,71.1,228.5,19.7,parcialmente nublado,parcialmente nublado
Lima,1,23.8,19,17.2,79.1,20.5,179.1,65.8,274.3,23.7,parcialmente nublado,parcialmente nublado
Lima,1,25,19,17.3,80.1,20.5,175.9,78.9,259.9,22.4,parcialmente nublado,parcialmente nublado
Lima,1,25.8,19,17.7,78.3,23.1,178.6,55.5,312.3,27.2,parcialmente nublado,parcialmente nublado
Lima,1,25,19,18.1,80.9,16.6,185.9,78.1,224.8,19.5,parcialmente nublado,parcialmente nublado
Lima,1,27,19,18,76.4,13,188.8,68.8,296.2,25.8,parcialmente nublado,parcialmente nublado
Lima,1,25.1,19.9,17.7,76.4,29.5,169,68.2,260.8,22.5,parcialmente nublado,parcialmente nublado
Lima,1,25,19.8,17.7,77.1,18.4,173.8,69.1,181.4,15.6,parcialmente nublado,parcialmente nublado
