name,datetime,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad_por,radiac_solar_watios_m2,energ_solar_MJ_m2,clase_hoy,clase_manana
Lima,2020-04-04,26.1,19.9,18.4,79,23.7,180.9,65.4,260.1,22.5,lluvioso,parcialmente_nublado
Lima,2020-04-05,26.1,21.1,18.8,79,25.5,164.6,77.8,239.9,20.7,parcialmente_nublado,lluvioso
Lima,2020-04-06,26.1,20.7,19.2,81.3,23.7,178.3,73.2,261.2,22.5,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-07,26.1,19.7,19.4,82.1,14.6,220,51.6,251.7,21.7,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-08,27.1,21.4,19.7,79.4,25.6,168.8,81.8,244.2,20.9,lluvioso,parcialmente_nublado
Lima,2020-04-09,24.1,20.1,19.3,83.9,25.4,170.6,82.4,245.3,21.2,parcialmente_nublado,lluvioso
Lima,2020-04-10,25.1,20.9,19.5,84.4,20.1,180,64.2,258.1,22.2,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-11,26.2,21.1,19,80.3,18,175,90.6,261,22.6,nublado,parcialmente_nublado
Lima,2020-04-12,26.1,20.1,18.6,80.4,23.7,173.2,69.8,272.3,23.3,parcialmente_nublado,nublado
Lima,2020-04-13,25.1,19.7,18.2,83.4,18.1,195.9,77.8,258.8,22.3,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-14,28.1,19.1,18.3,77.1,22.1,190.4,65.7,267.3,23.1,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-15,27.4,21.1,17.8,69.3,20.1,173.3,43.3,264.7,22.8,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-16,28.1,20.7,18.2,74,16.5,179.3,32.3,284.5,24.7,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-18,26.1,19.1,17.6,79.2,20.1,189.8,54,207.1,17.8,lluvioso,parcialmente_nublado
Lima,2020-04-19,26.2,19.9,17.4,75.7,20.1,184.7,56.7,209.7,18.1,parcialmente_nublado,lluvioso
Lima,2020-04-21,25.1,18.9,16.6,74.8,25.6,164.5,22.2,260.9,22.6,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-22,26.4,20.1,16.4,71.6,23.9,166.3,34.6,259.3,22.4,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-23,25.1,19.9,16.5,72.1,22,171.7,25.9,244.4,21.1,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-26,25.1,20.1,17.4,76.6,25.6,170.6,46.7,245.5,21.1,parcialmente_nublado,parcialmente_nublado
Lima,2020-04-27,25.1,18.1,16.4,75.4,22.1,172.1,65.3,237.8,20.5,lluvioso,parcialmente_nublado
Lima,2020-04-28,23.2,17.9,16.3,77.8,14.8,226.5,39.1,243.7,21.1,lluvioso,lluvioso
Lima,2020-04-29,22.1,17.9,16.8,82,14.7,286.7,38.6,234.8,20.3,parcialmente_nublado,lluvioso
Lima,2020-04-30,24.1,18.1,17.3,81.1,20.2,194.3,51.4,237.7,20.4,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-01,24.1,18.1,17.2,79.4,20.1,190.9,47.3,246.5,21.3,lluvioso,parcialmente_nublado
Lima,2020-05-02,24.9,19.1,17.4,80.6,18,185.3,61.3,236.1,20.5,parcialmente_nublado,lluvioso
Lima,2020-05-03,24.1,18.9,17.3,81.1,23.7,189.4,58.8,228.2,19.9,lluvioso,parcialmente_nublado
Lima,2020-05-04,23.1,19.1,17.2,81.5,18.1,182.8,81.7,205.1,17.9,lluvioso,lluvioso
Lima,2020-05-05,23.4,18.7,17,81.9,20.2,177.4,71.5,214.4,18.6,parcialmente_nublado,lluvioso
Lima,2020-05-06,24.4,17.7,17,82.4,14.6,184,78.9,230.4,20,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-07,23.1,18.1,17.2,83.3,14.6,190.2,75.8,238.9,20.6,lluvioso,parcialmente_nublado
Lima,2020-05-08,24.1,18.1,17.1,83.2,22.1,175.4,54.3,228.4,19.6,parcialmente_nublado,lluvioso
Lima,2020-05-09,24.1,18.1,16.5,76.5,34.8,156,49.2,210.3,18,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-10,24.1,18.7,16,71.6,34.8,156.9,51.3,220.1,19.2,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-11,25.1,18.7,15.7,68.7,22,170.1,45.1,236,20.3,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-12,24.2,18.1,16.2,75.8,20.3,184,29.9,245.4,21.2,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-13,23.1,17.9,16.4,80.7,25.6,171.2,40.5,248.7,21.5,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-14,22.1,17.1,16.3,85.2,22,174.7,58.5,240.1,20.9,parcialmente_nublado,parcialmente_nublado
Lima,2020-05-15,19.6,17.1,15.8,86.2,16.5,247.2,97.1,207.3,17.9,nublado,parcialmente_nublado
Lima,2020-05-16,22.9,17.1,14.9,76.1,14.6,182.4,66.8,195.9,17,parcialmente_nublado,nublado
Lima,2020-05-17,20.1,17.1,15,80.8,16.5,187.3,97.1,218.8,18.9,nublado,parcialmente_nublado
Lima,2020-05-18,21.2,17.1,14.9,80.4,25.6,175,94.2,220.8,19,nublado,nublado
Lima,2020-05-19,20.1,16.1,14.9,84.3,18.1,179.8,100,227.6,19.8,nublado,nublado
Lima,2020-05-20,20.2,16.4,14.7,81.5,18,179.1,97.5,221.2,19.1,nublado,nublado
Lima,2020-05-21,21.1,16.7,14.2,78.1,21.9,175.9,95.8,222.2,19.5,nublado,nublado
Lima,2020-05-22,19.1,16.1,14.3,80.4,16.4,234.6,100,197.8,17.2,nublado,nublado
Lima,2020-05-23,20.1,17.1,14.6,80.8,22.1,286.6,79.1,216.6,18.7,parcialmente_nublado,nublado
Lima,2020-05-24,19.1,17.1,14.9,83.3,11.1,200.5,100,218.8,18.8,nublado,parcialmente_nublado
Lima,2020-05-25,21.1,16.7,15.1,82.3,16.4,186.2,96.7,201.9,17.5,nublado,nublado
