mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad_por,visibility,radiac_solar_watios_m2,energ_solar_MJ_m2,uvindex,clase_hoy,clase_manana
12,21.4,18.1,15.7,80.2,16.6,177,88.8,11,,,,parcialmente_nublado,nublado
12,21.1,17.1,15.7,81,24.1,169.6,71.8,11,,,,parcialmente_nublado,parcialmente_nublado
12,21.1,17.1,16,84.2,20.5,179.3,70.4,10.8,,,,parcialmente_nublado,parcialmente_nublado
12,21.1,17.1,15.9,83.3,14.8,189,83.9,11,,,,parcialmente_nublado,parcialmente_nublado
12,23.1,18.1,16.3,79.4,18.4,179.1,84,11,,,,parcialmente_nublado,parcialmente_nublado
12,22.1,17.9,16.7,85.3,18.4,175.8,79.1,9.2,,,,parcialmente_nublado,parcialmente_nublado
12,22.1,17.9,16.4,84.4,22.3,180.6,90.4,9.3,,,,nublado,parcialmente_nublado
12,21.1,18.1,16.2,81.5,14.8,194.9,92.3,10.8,,,,nublado,nublado
12,23.1,16.7,16.2,80.7,14.8,183.4,84.2,10.1,,,,parcialmente_nublado,nublado
12,23.2,17.1,16.2,82.3,18.4,183.8,68.9,9.5,,,,parcialmente_nublado,parcialmente_nublado
12,21.1,17.7,16.1,82.6,20.5,185.1,82.3,9.3,,,,parcialmente_nublado,parcialmente_nublado
12,22.1,18.1,16,79.3,24.1,176.7,60.6,10.7,,,,parcialmente_nublado,parcialmente_nublado
12,23.2,18.9,16.3,77.2,18.4,181.7,76.7,10.2,,,,parcialmente_nublado,parcialmente_nublado
12,23.1,18.1,16.7,79.8,22.3,177.9,48.2,10.5,,,,parcialmente_nublado,parcialmente_nublado
12,23.1,18.1,17.2,82.5,20.5,177.6,76.7,10.5,,,,parcialmente_nublado,parcialmente_nublado
12,23.1,18.1,17.1,85,14.8,185.5,73.2,9.8,,,,parcialmente_nublado,parcialmente_nublado
12,22.2,17.9,17.3,88.1,20.5,188.2,81.7,8.2,,,,parcialmente_nublado,parcialmente_nublado
12,23.1,19.1,17.3,81.3,18.4,175,67.6,10,,,,parcialmente_nublado,parcialmente_nublado
12,23.2,19.4,17.2,79.1,24.1,177.4,75.9,10.9,,,,parcialmente_nublado,parcialmente_nublado
12,24.4,19.1,17.2,78,22.3,175.3,78.2,10.9,,,,parcialmente_nublado,parcialmente_nublado
1,24.1,19.1,17.4,80.2,25.9,177.7,84,9,,,,parcialmente_nublado,parcialmente_nublado
1,23.1,18.7,17.7,85.8,24.1,176.3,67,8.9,,,,parcialmente_nublado,parcialmente_nublado
1,24.1,19.1,17.8,81,22.3,175.5,72.6,10.5,,,,parcialmente_nublado,parcialmente_nublado
1,23.1,19.1,17.9,86.3,14.8,186.1,78.3,7.3,,,,parcialmente_nublado,parcialmente_nublado
1,24.1,19.1,18,83.3,20.5,174.1,67.9,10.2,,,,parcialmente_nublado,parcialmente_nublado
1,24.4,20.1,18.3,80,25.9,173.4,70.4,11,,,,parcialmente_nublado,parcialmente_nublado
1,23.1,19.7,18.4,84.6,20.5,176.4,54.8,10.5,,,,parcialmente_nublado,parcialmente_nublado
1,24.1,19.1,18.6,84.2,22.3,170.8,73.5,10.7,,,,parcialmente_nublado,parcialmente_nublado
1,24.1,20.1,19.1,84.9,16.6,180.5,85.4,10.8,,,,parcialmente_nublado,parcialmente_nublado
1,25.1,20.1,19.3,83.7,18.4,193,88.2,9.7,,,,parcialmente_nublado,parcialmente_nublado
1,23.1,19.9,19.1,87.4,16.6,227.7,96.1,6.6,,,,nublado,parcialmente_nublado
1,25.7,20.1,19.6,83.2,24.1,172.3,61.4,10.5,,,,parcialmente_nublado,nublado
1,27.1,21.1,19.7,83.6,20.5,174.3,79.5,10.9,,,,parcialmente_nublado,parcialmente_nublado
1,25.1,20.9,20,86.4,13,188.1,85.2,10,,,,parcialmente_nublado,parcialmente_nublado
1,23.4,20.1,19.9,89.3,11.2,257.6,94.2,6.3,,,,nublado,parcialmente_nublado
1,27.1,20.1,19.8,85.1,11.2,236.8,78.3,8,,,,parcialmente_nublado,nublado
1,27.1,21.1,19.8,81.1,16.6,196.9,90,10.5,,,,parcialmente_nublado,parcialmente_nublado
1,25.1,20.9,20,85.6,24.1,174.5,69.5,9.9,,,,parcialmente_nublado,parcialmente_nublado
1,24.7,21.1,20.1,84.8,20.5,177,67.4,10.3,,,,parcialmente_nublado,parcialmente_nublado
1,26.4,22.1,19.7,79.2,24.1,168.3,88.4,11.1,,,,parcialmente_nublado,parcialmente_nublado
1,26.1,21.1,19.8,79.9,25.9,171.3,63.3,10.5,,,,parcialmente_nublado,parcialmente_nublado
1,27.1,21.1,19.9,80.6,20.5,174.8,59.4,10.6,,,,parcialmente_nublado,parcialmente_nublado
1,28.1,20.7,20.5,80.2,18.4,171.7,73.9,10.3,,,,parcialmente_nublado,parcialmente_nublado
1,26.7,21.9,20.2,76.8,24.1,170,72.3,10.5,,,,parcialmente_nublado,parcialmente_nublado
1,27.1,22.1,20.4,77.5,27.7,174.5,77.1,10.8,,,,parcialmente_nublado,parcialmente_nublado
1,27.1,22.1,20.1,76.3,22.3,176.8,66.3,11.3,,,,parcialmente_nublado,parcialmente_nublado
1,24.2,21.1,19.6,83.3,18.4,306.3,83.5,10,,,,parcialmente_nublado,parcialmente_nublado
1,27.1,20.9,18.9,76,22.3,174,80.4,11.1,,,,parcialmente_nublado,parcialmente_nublado
1,25.1,21.1,19.8,80,25.9,166.6,65,11,,,,parcialmente_nublado,parcialmente_nublado
1,27.1,21.1,19.8,76.7,24.1,170.8,63.6,10.8,,,,parcialmente_nublado,parcialmente_nublado
1,27.1,21.1,19.1,74.5,14.8,191.6,88.9,10.4,,,,parcialmente_nublado,parcialmente_nublado
2,29.4,21.6,19.2,72.7,22.3,181.7,81.6,10.8,,,,parcialmente_nublado,parcialmente_nublado
2,27.1,21.1,19.3,75.3,25.9,170.3,72.9,10.8,,,,parcialmente_nublado,parcialmente_nublado
2,26.1,21.7,18.9,76.3,18.4,176.3,76.3,11,,,,parcialmente_nublado,parcialmente_nublado
2,26.1,20.1,18.3,75.3,29.5,170.3,48.9,10.6,,,,parcialmente_nublado,parcialmente_nublado
2,26.1,19.6,18.1,75.7,22.3,178.5,42.2,10.8,,,,parcialmente_nublado,parcialmente_nublado
2,25.1,19.9,18.3,79.7,18.4,185.4,63.8,10.3,,,,parcialmente_nublado,parcialmente_nublado
2,25.1,19.1,17.7,78.4,13,210.8,35.5,10.7,,,,parcialmente_nublado,parcialmente_nublado
2,26.1,18.9,17.8,78.7,11.2,269.3,12,9,,,,despejado,parcialmente_nublado
2,26.1,19.1,17.6,76,13,249.6,23.3,10.1,,,,parcialmente_nublado,despejado
2,26.4,19.9,17.6,77,9.4,223.4,40,10.6,,,,parcialmente_nublado,parcialmente_nublado
2,25.1,19.9,18.2,78.3,18.4,198.4,54.3,10.5,,,,parcialmente_nublado,parcialmente_nublado
2,27.1,20.7,18.6,76.1,22.3,176.3,65.8,10.6,,,,parcialmente_nublado,parcialmente_nublado
2,28.1,20.1,18.4,74.5,20.5,180.9,63.6,10.5,,,,parcialmente_nublado,parcialmente_nublado
2,26.2,19.7,19.2,79.2,18.4,182,46.2,10,,,,parcialmente_nublado,parcialmente_nublado
2,26.1,20.7,19.7,80,13,194.3,81.1,10.4,,,,parcialmente_nublado,parcialmente_nublado
2,25.1,19.7,19.5,83.8,13,268.6,69.2,9.4,,,,parcialmente_nublado,parcialmente_nublado
2,26.4,20.6,19,76.8,13,258.5,65.7,8.3,,,,parcialmente_nublado,parcialmente_nublado
2,27.9,21.1,18.9,76.8,18.4,187.3,80,10.6,,,,parcialmente_nublado,parcialmente_nublado
2,24.1,20.9,19.3,84.4,13,261.2,73.6,10.6,,,,parcialmente_nublado,parcialmente_nublado
2,27.1,21.1,19.2,78.6,18.4,193.6,81.9,10.6,,,,parcialmente_nublado,parcialmente_nublado
2,27.9,21.9,20,79.5,20.5,178.6,87.2,10.9,,,,parcialmente_nublado,parcialmente_nublado
2,28.1,21.7,19.8,75.4,14.8,198.8,83.6,10.4,,,,parcialmente_nublado,parcialmente_nublado
2,32.1,22.1,19.2,70.3,14.8,189.5,81.5,10.4,,,,parcialmente_nublado,parcialmente_nublado
2,31.7,21.1,19.6,72,13,236.4,64,10.3,,,,parcialmente_nublado,parcialmente_nublado
2,29.1,20.6,19.1,75.6,16.6,186.2,70,10.5,,,,parcialmente_nublado,parcialmente_nublado
2,27.1,20.1,19.1,79.7,11.2,238.9,77.9,8.6,,,,parcialmente_nublado,parcialmente_nublado
2,24.1,19.7,19.1,83,13,261.7,70.6,8.8,,,,parcialmente_nublado,parcialmente_nublado
2,27.1,20.9,19,77.4,14.8,200.4,61.1,10.3,,,,parcialmente_nublado,parcialmente_nublado
2,27.1,21.1,18.9,76.9,14.8,189.5,61.3,10.4,,,,parcialmente_nublado,parcialmente_nublado
3,26.1,20.1,18.8,79.9,18.4,178.1,48,10.1,,,,parcialmente_nublado,parcialmente_nublado
3,25.1,18.7,18.3,84.2,14.8,269.7,52.7,8.8,,,,parcialmente_nublado,parcialmente_nublado
3,25.4,19.1,18.9,80,11.2,252.7,55.6,7.9,,,,parcialmente_nublado,parcialmente_nublado
3,26.1,20.1,19.1,79,14.8,193.6,52.4,9.5,,,,parcialmente_nublado,parcialmente_nublado
