name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lima,2007-12-11,21.1,17.9,19.2,21.1,17.9,19.2,15.3,78.7,,0,0,,,,,13,205.7,1013.2,97.1,11.2,,,,,2007-12-11T05:36:48,2007-12-11T18:25:52,0.07,Overcast,Cloudy skies throughout the day.,cloudy,84628099999
Lima,2007-12-12,21.4,18.1,19.2,21.4,18.1,19.2,15.7,80.2,,0,0,,,,,16.6,177,1013.4,88.8,11,,,,,2007-12-12T05:37:11,2007-12-12T18:26:24,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-13,21.1,17.1,19.1,21.1,17.1,19.1,15.7,81,,0,0,,,,,24.1,169.6,1014.5,71.8,11,,,,,2007-12-13T05:37:34,2007-12-13T18:26:57,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-14,21.1,17.1,18.8,21.1,17.1,18.8,16,84.2,,0,0,,,,,20.5,179.3,1014,70.4,10.8,,,,,2007-12-14T05:37:59,2007-12-14T18:27:29,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-15,21.1,17.1,18.8,21.1,17.1,18.8,15.9,83.3,,0,0,,,,,14.8,189,1013.2,83.9,11,,,,,2007-12-15T05:38:24,2007-12-15T18:28:01,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-16,23.1,18.1,20,23.1,18.1,20,16.3,79.4,,0,0,,,,,18.4,179.1,1014.4,84,11,,,,,2007-12-16T05:38:50,2007-12-16T18:28:33,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-17,22.1,17.9,19.3,22.1,17.9,19.3,16.7,85.3,,0,0,,,,,18.4,175.8,1015.2,79.1,9.2,,,,,2007-12-17T05:39:16,2007-12-17T18:29:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-18,22.1,17.9,19.2,22.1,17.9,19.2,16.4,84.4,,0,0,,,,,22.3,180.6,1014.9,90.4,9.3,,,,,2007-12-18T05:39:44,2007-12-18T18:29:36,0.31,Overcast,Cloudy skies throughout the day.,cloudy,84628099999
Lima,2007-12-19,21.1,18.1,19.5,21.1,18.1,19.5,16.2,81.5,,0,0,,,,,14.8,194.9,1013.7,92.3,10.8,,,,,2007-12-19T05:40:11,2007-12-19T18:30:07,0.35,Overcast,Cloudy skies throughout the day.,cloudy,84628099999
Lima,2007-12-20,23.1,16.7,19.7,23.1,16.7,19.7,16.2,80.7,,0,0,,,,,14.8,183.4,1013.6,84.2,10.1,,,,,2007-12-20T05:40:40,2007-12-20T18:30:37,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-21,23.2,17.1,19.4,23.2,17.1,19.4,16.2,82.3,,0,0,,,,,18.4,183.8,1013.2,68.9,9.5,,,,,2007-12-21T05:41:09,2007-12-21T18:31:07,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-22,21.1,17.7,19.2,21.1,17.7,19.2,16.1,82.6,,0,0,,,,,20.5,185.1,1012.8,82.3,9.3,,,,,2007-12-22T05:41:39,2007-12-22T18:31:37,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-23,22.1,18.1,19.8,22.1,18.1,19.8,16,79.3,,0,0,,,,,24.1,176.7,1012.4,60.6,10.7,,,,,2007-12-23T05:42:09,2007-12-23T18:32:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-24,23.2,18.9,20.5,23.2,18.9,20.5,16.3,77.2,,0,0,,,,,18.4,181.7,1012.7,76.7,10.2,,,,,2007-12-24T05:42:39,2007-12-24T18:32:35,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
Lima,2007-12-25,23.1,18.1,20.3,23.1,18.1,20.3,16.7,79.8,,0,0,,,,,22.3,177.9,1011.3,48.2,10.5,,,,,2007-12-25T05:43:10,2007-12-25T18:33:03,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,84628099999
