inst#,actual,predicted,error,prediction
1,2:parcialmente_nublado,3:nublado,+,0.48
2,2:parcialmente_nublado,3:nublado,+,0.45
3,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
4,1:lluvioso,3:nublado,+,0.59
5,1:lluvioso,2:parcialmente_nublado,+,0.59
6,3:nublado,3:nublado,,0.66
7,3:nublado,3:nublado,,0.74
8,1:lluvioso,1:lluvioso,,0.77
9,1:lluvioso,1:lluvioso,,0.65
10,3:nublado,3:nublado,,0.91
11,3:nublado,3:nublado,,0.78
12,3:nublado,3:nublado,,0.58
13,1:lluvioso,1:lluvioso,,0.94
14,1:lluvioso,1:lluvioso,,0.94
15,1:lluvioso,1:lluvioso,,0.86
16,3:nublado,3:nublado,,0.76
17,2:parcialmente_nublado,3:nublado,+,0.65
18,2:parcialmente_nublado,2:parcialmente_nublado,,0.5
19,1:lluvioso,1:lluvioso,,0.44
20,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
21,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
22,3:nublado,3:nublado,,0.97
23,2:parcialmente_nublado,1:lluvioso,+,0.78
24,2:parcialmente_nublado,2:parcialmente_nublado,,0.5
25,1:lluvioso,1:lluvioso,,0.78
26,1:lluvioso,1:lluvioso,,0.67
27,3:nublado,3:nublado,,0.95
28,3:nublado,3:nublado,,0.69
29,3:nublado,3:nublado,,0.59
30,1:lluvioso,1:lluvioso,,0.85
31,1:lluvioso,1:lluvioso,,0.87
32,3:nublado,3:nublado,,0.66
33,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
34,1:lluvioso,2:parcialmente_nublado,+,0.7
35,2:parcialmente_nublado,3:nublado,+,0.68
36,1:lluvioso,1:lluvioso,,0.61
37,2:parcialmente_nublado,2:parcialmente_nublado,,0.81
38,2:parcialmente_nublado,2:parcialmente_nublado,,0.79
39,3:nublado,3:nublado,,0.94
40,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
41,1:lluvioso,1:lluvioso,,0.91
42,3:nublado,2:parcialmente_nublado,+,0.7
43,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
44,3:nublado,3:nublado,,0.73
45,1:lluvioso,1:lluvioso,,0.69
46,1:lluvioso,1:lluvioso,,0.58
47,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
48,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
49,2:parcialmente_nublado,2:parcialmente_nublado,,0.58
50,3:nublado,2:parcialmente_nublado,+,0.39
51,1:lluvioso,1:lluvioso,,0.96
52,2:parcialmente_nublado,2:parcialmente_nublado,,0.74
53,3:nublado,2:parcialmente_nublado,+,0.58
54,1:lluvioso,1:lluvioso,,0.85
55,1:lluvioso,1:lluvioso,,0.88
56,1:lluvioso,1:lluvioso,,0.69
57,3:nublado,1:lluvioso,+,0.53
58,3:nublado,3:nublado,,0.9
59,1:lluvioso,1:lluvioso,,0.91
60,3:nublado,3:nublado,,0.9
61,1:lluvioso,1:lluvioso,,0.71
62,1:lluvioso,1:lluvioso,,0.83
63,1:lluvioso,1:lluvioso,,0.97
64,1:lluvioso,1:lluvioso,,0.56
65,3:nublado,3:nublado,,0.84
66,3:nublado,3:nublado,,0.95
67,1:lluvioso,1:lluvioso,,0.6
68,1:lluvioso,1:lluvioso,,0.5
69,3:nublado,3:nublado,,0.78
70,1:lluvioso,1:lluvioso,,0.56
71,3:nublado,3:nublado,,0.86
72,1:lluvioso,1:lluvioso,,0.88
73,3:nublado,2:parcialmente_nublado,+,0.73
74,3:nublado,3:nublado,,0.57
75,1:lluvioso,1:lluvioso,,0.84
76,3:nublado,2:parcialmente_nublado,+,0.79
77,3:nublado,3:nublado,,0.59
78,3:nublado,3:nublado,,0.94
79,3:nublado,3:nublado,,0.92
80,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
81,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
82,3:nublado,3:nublado,,0.54
83,3:nublado,3:nublado,,0.61
84,1:lluvioso,1:lluvioso,,0.93
85,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
86,3:nublado,3:nublado,,0.5
87,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
88,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
89,3:nublado,3:nublado,,0.93
90,2:parcialmente_nublado,2:parcialmente_nublado,,0.49
91,3:nublado,3:nublado,,0.47
92,1:lluvioso,2:parcialmente_nublado,+,0.35
93,2:parcialmente_nublado,2:parcialmente_nublado,,0.6
94,1:lluvioso,1:lluvioso,,0.97
95,1:lluvioso,1:lluvioso,,0.94
96,3:nublado,2:parcialmente_nublado,+,0.84
97,3:nublado,3:nublado,,0.9
98,3:nublado,3:nublado,,0.76
99,3:nublado,3:nublado,,0.93
100,1:lluvioso,1:lluvioso,,0.96
